iteration,idxS,idxE,S,E,P,overlap,overlap_score,overlap_density,real_overlap
121,1,56,000001,101111,101110,-0---1,2,0.3333333333333333,True
122,1,57,000001,011111,011110,0----1,2,0.3333333333333333,True
123,1,58,000001,111111,111110,-----1,1,0.16666666666666666,True
124,1,59,000001,111110,111111,------,0,0.0,False
125,1,60,000001,111100,111101,----0-,1,0.16666666666666666,False
126,1,61,000001,111000,111001,---00-,2,0.3333333333333333,False
127,1,62,000001,110000,110001,--000-,3,0.5,False
128,1,63,000001,100000,100001,-0000-,4,0.6666666666666666,False
129,2,0,000010,000000,000010,0000-0,5,0.8333333333333334,False
130,2,1,000010,000001,000011,0000--,4,0.6666666666666666,False
131,2,2,000010,000010,000000,000010,6,1.0,False
132,2,3,000010,000100,000110,000--0,4,0.6666666666666666,False
133,2,4,000010,001000,001010,00-0-0,4,0.6666666666666666,False
134,2,5,000010,010000,010010,0-00-0,4,0.6666666666666666,False
135,2,6,000010,100001,100011,-000--,3,0.5,False
136,2,7,000010,000011,000001,00001-,5,0.8333333333333334,False
137,2,8,000010,000110,000100,000-10,5,0.8333333333333334,False
138,2,9,000010,001100,001110,00---0,3,0.5,False
139,2,10,000010,011000,011010,0--0-0,3,0.5,False
140,2,11,000010,110001,110011,--00--,2,0.3333333333333333,False
141,2,12,000010,100010,100000,-00010,5,0.8333333333333334,False
142,2,13,000010,000101,000111,000---,3,0.5,False
143,2,14,000010,001010,001000,00-010,5,0.8333333333333334,False
144,2,15,000010,010100,010110,0-0--0,3,0.5,False
145,2,16,000010,101000,101010,-0-0-0,3,0.5,False
146,2,17,000010,010001,010011,0-00--,3,0.5,False
147,2,18,000010,100011,100001,-0001-,4,0.6666666666666666,False
148,2,19,000010,000111,000101,000-1-,4,0.6666666666666666,False
149,2,20,000010,001110,001100,00--10,4,0.6666666666666666,False
150,2,21,000010,011100,011110,0----0,2,0.3333333333333333,False
151,2,22,000010,111001,111011,---0--,1,0.16666666666666666,False
152,2,23,000010,110010,110000,--0010,4,0.6666666666666666,False
153,2,24,000010,100100,100110,-00--0,3,0.5,False
154,2,25,000010,001001,001011,00-0--,3,0.5,False
155,2,26,000010,010010,010000,0-0010,5,0.8333333333333334,False
156,2,27,000010,100101,100111,-00---,2,0.3333333333333333,False
157,2,28,000010,001011,001001,00-01-,4,0.6666666666666666,False
158,2,29,000010,010110,010100,0-0-10,4,0.6666666666666666,False
159,2,30,000010,101100,101110,-0---0,2,0.3333333333333333,False
160,2,31,000010,011001,011011,0--0--,2,0.3333333333333333,False
161,2,32,000010,110011,110001,--001-,3,0.5,False
162,2,33,000010,100110,100100,-00-10,4,0.6666666666666666,False
163,2,34,000010,001101,001111,00----,2,0.3333333333333333,False
164,2,35,000010,011010,011000,0--010,4,0.6666666666666666,False
165,2,36,000010,110100,110110,--0--0,2,0.3333333333333333,False
166,2,37,000010,101001,101011,-0-0--,2,0.3333333333333333,False
167,2,38,000010,010011,010001,0-001-,4,0.6666666666666666,False
168,2,39,000010,100111,100101,-00-1-,3,0.5,False
169,2,40,000010,001111,001101,00--1-,3,0.5,False
170,2,41,000010,011110,011100,0---10,3,0.5,False
171,2,42,000010,111101,111111,------,0,0.0,False
172,2,43,000010,111010,111000,---010,3,0.5,False
173,2,44,000010,110101,110111,--0---,1,0.16666666666666666,False
174,2,45,000010,101010,101000,-0-010,4,0.6666666666666666,False
175,2,46,000010,010101,010111,0-0---,2,0.3333333333333333,False
176,2,47,000010,101011,101001,-0-01-,3,0.5,False
177,2,48,000010,010111,010101,0-0-1-,3,0.5,False
178,2,49,000010,101110,101100,-0--10,3,0.5,False
179,2,50,000010,011101,011111,0-----,1,0.16666666666666666,False
180,2,51,000010,111011,111001,---01-,2,0.3333333333333333,False
181,2,52,000010,110110,110100,--0-10,3,0.5,False
182,2,53,000010,101101,101111,-0----,1,0.16666666666666666,False
183,2,54,000010,011011,011001,0--01-,3,0.5,False
184,2,55,000010,110111,110101,--0-1-,2,0.3333333333333333,False
185,2,56,000010,101111,101101,-0--1-,2,0.3333333333333333,False
186,2,57,000010,011111,011101,0---1-,2,0.3333333333333333,False
187,2,58,000010,111111,111101,----1-,1,0.16666666666666666,False
188,2,59,000010,111110,111100,----10,2,0.3333333333333333,False
189,2,60,000010,111100,111110,-----0,1,0.16666666666666666,False
190,2,61,000010,111000,111010,---0-0,2,0.3333333333333333,False
191,2,62,000010,110000,110010,--00-0,3,0.5,False
192,2,63,000010,100000,100010,-000-0,4,0.6666666666666666,False
193,3,0,000100,000000,000100,000-00,5,0.8333333333333334,False
194,3,1,000100,000001,000101,000-0-,4,0.6666666666666666,False
195,3,2,000100,000010,000110,000--0,4,0.6666666666666666,False
196,3,3,000100,000100,000000,000100,6,1.0,False
197,3,4,000100,001000,001100,00--00,4,0.6666666666666666,False
198,3,5,000100,010000,010100,0-0-00,4,0.6666666666666666,False
199,3,6,000100,100001,100101,-00-0-,3,0.5,False
200,3,7,000100,000011,000111,000---,3,0.5,False
201,3,8,000100,000110,000010,0001-0,5,0.8333333333333334,False
202,3,9,000100,001100,001000,00-100,5,0.8333333333333334,False
203,3,10,000100,011000,011100,0---00,3,0.5,False
204,3,11,000100,110001,110101,--0-0-,2,0.3333333333333333,False
205,3,12,000100,100010,100110,-00--0,3,0.5,False
206,3,13,000100,000101,000001,00010-,5,0.8333333333333334,False
207,3,14,000100,001010,001110,00---0,3,0.5,False
208,3,15,000100,010100,010000,0-0100,5,0.8333333333333334,False
209,3,16,000100,101000,101100,-0--00,3,0.5,False
210,3,17,000100,010001,010101,0-0-0-,3,0.5,False
211,3,18,000100,100011,100111,-00---,2,0.3333333333333333,False
212,3,19,000100,000111,000011,0001--,4,0.6666666666666666,False
213,3,20,000100,001110,001010,00-1-0,4,0.6666666666666666,False
214,3,21,000100,011100,011000,0--100,4,0.6666666666666666,False
215,3,22,000100,111001,111101,----0-,1,0.16666666666666666,False
216,3,23,000100,110010,110110,--0--0,2,0.3333333333333333,False
217,3,24,000100,100100,100000,-00100,5,0.8333333333333334,False
218,3,25,000100,001001,001101,00--0-,3,0.5,False
219,3,26,000100,010010,010110,0-0--0,3,0.5,False
220,3,27,000100,100101,100001,-0010-,4,0.6666666666666666,False
221,3,28,000100,001011,001111,00----,2,0.3333333333333333,False
222,3,29,000100,010110,010010,0-01-0,4,0.6666666666666666,False
223,3,30,000100,101100,101000,-0-100,4,0.6666666666666666,False
224,3,31,000100,011001,011101,0---0-,2,0.3333333333333333,False
225,3,32,000100,110011,110111,--0---,1,0.16666666666666666,False
226,3,33,000100,100110,100010,-001-0,4,0.6666666666666666,False
227,3,34,000100,001101,001001,00-10-,4,0.6666666666666666,False
228,3,35,000100,011010,011110,0----0,2,0.3333333333333333,False
229,3,36,000100,110100,110000,--0100,4,0.6666666666666666,False
230,3,37,000100,101001,101101,-0--0-,2,0.3333333333333333,False
231,3,38,000100,010011,010111,0-0---,2,0.3333333333333333,False
232,3,39,000100,100111,100011,-001--,3,0.5,False
233,3,40,000100,001111,001011,00-1--,3,0.5,False
234,3,41,000100,011110,011010,0--1-0,3,0.5,False
235,3,42,000100,111101,111001,---10-,2,0.3333333333333333,False
236,3,43,000100,111010,111110,-----0,1,0.16666666666666666,False
237,3,44,000100,110101,110001,--010-,3,0.5,False
238,3,45,000100,101010,101110,-0---0,2,0.3333333333333333,False
239,3,46,000100,010101,010001,0-010-,4,0.6666666666666666,False
240,3,47,000100,101011,101111,-0----,1,0.16666666666666666,False
241,3,48,000100,010111,010011,0-01--,3,0.5,False
242,3,49,000100,101110,101010,-0-1-0,3,0.5,False
243,3,50,000100,011101,011001,0--10-,3,0.5,False
244,3,51,000100,111011,111111,------,0,0.0,False
245,3,52,000100,110110,110010,--01-0,3,0.5,False
246,3,53,000100,101101,101001,-0-10-,3,0.5,False
247,3,54,000100,011011,011111,0-----,1,0.16666666666666666,False
248,3,55,000100,110111,110011,--01--,2,0.3333333333333333,False
249,3,56,000100,101111,101011,-0-1--,2,0.3333333333333333,False
250,3,57,000100,011111,011011,0--1--,2,0.3333333333333333,False
251,3,58,000100,111111,111011,---1--,1,0.16666666666666666,False
252,3,59,000100,111110,111010,---1-0,2,0.3333333333333333,False
253,3,60,000100,111100,111000,---100,3,0.5,False
254,3,61,000100,111000,111100,----00,2,0.3333333333333333,False
255,3,62,000100,110000,110100,--0-00,3,0.5,False
256,3,63,000100,100000,100100,-00-00,4,0.6666666666666666,False
257,4,0,001000,000000,001000,00-000,5,0.8333333333333334,False
258,4,1,001000,000001,001001,00-00-,4,0.6666666666666666,False
259,4,2,001000,000010,001010,00-0-0,4,0.6666666666666666,False
260,4,3,001000,000100,001100,00--00,4,0.6666666666666666,False
261,4,4,001000,001000,000000,001000,6,1.0,False
262,4,5,001000,010000,011000,0--000,4,0.6666666666666666,False
263,4,6,001000,100001,101001,-0-00-,3,0.5,False
264,4,7,001000,000011,001011,00-0--,3,0.5,False
265,4,8,001000,000110,001110,00---0,3,0.5,False
266,4,9,001000,001100,000100,001-00,5,0.8333333333333334,False
267,4,10,001000,011000,010000,0-1000,5,0.8333333333333334,False
268,4,11,001000,110001,111001,---00-,2,0.3333333333333333,False
269,4,12,001000,100010,101010,-0-0-0,3,0.5,False
270,4,13,001000,000101,001101,00--0-,3,0.5,False
271,4,14,001000,001010,000010,0010-0,5,0.8333333333333334,False
272,4,15,001000,010100,011100,0---00,3,0.5,False
273,4,16,001000,101000,100000,-01000,5,0.8333333333333334,False
274,4,17,001000,010001,011001,0--00-,3,0.5,False
275,4,18,001000,100011,101011,-0-0--,2,0.3333333333333333,False
276,4,19,001000,000111,001111,00----,2,0.3333333333333333,False
277,4,20,001000,001110,000110,001--0,4,0.6666666666666666,False
278,4,21,001000,011100,010100,0-1-00,4,0.6666666666666666,False
279,4,22,001000,111001,110001,--100-,3,0.5,False
280,4,23,001000,110010,111010,---0-0,2,0.3333333333333333,False
281,4,24,001000,100100,101100,-0--00,3,0.5,False
282,4,25,001000,001001,000001,00100-,5,0.8333333333333334,False
283,4,26,001000,010010,011010,0--0-0,3,0.5,False
284,4,27,001000,100101,101101,-0--0-,2,0.3333333333333333,False
285,4,28,001000,001011,000011,0010--,4,0.6666666666666666,False
286,4,29,001000,010110,011110,0----0,2,0.3333333333333333,False
287,4,30,001000,101100,100100,-01-00,4,0.6666666666666666,False
288,4,31,001000,011001,010001,0-100-,4,0.6666666666666666,False
289,4,32,001000,110011,111011,---0--,1,0.16666666666666666,False
290,4,33,001000,100110,101110,-0---0,2,0.3333333333333333,False
291,4,34,001000,001101,000101,001-0-,4,0.6666666666666666,False
